fecha;rk;tipo;localizacion;latitud;longitud;profundidad;especie;sexo;estado_caparazon;cirripedio;largo_caparazon;ancho_caparazon;largo_quela;ancho_quela;huevos;parasito
jul_97;178;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;;70.8;;;;3;
jul_97;179;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;94.6;;;;;
jul_97;180;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;87.4;;;;;
jul_97;181;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;4;2;82.7;;;;;
jul_97;182;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;93.9;;;;;
jul_97;183;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;84.6;;;;;
jul_97;184;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;71.5;;;;1;
jul_97;185;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;4;2;91.1;;;;;
jul_97;186;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;66.2;;;;1;
jul_97;187;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;68.5;;;;1;
jul_97;188;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;1.23;69.1;;;;3;
jul_97;189;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;70.4;;;;1;
jul_97;190;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;76.4;;;;1;
jul_97;191;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;68.1;;;;1;
jul_97;192;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;82.8;;;;;
jul_97;193;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;71.4;;;;1;
jul_97;194;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;65.5;;;;1;
